Company,Date,Close/Last,Volume,Open,High,Low
META,01/27/2014,0.19,0.48,0.19,0.19,0.18
META,01/24/2014,0.19,0.36,0.2,0.19,0.19
META,01/23/2014,0.2,0.31,0.2,0.19,0.2
META,01/22/2014,0.2,0.4,0.2,0.2,0.2
META,01/21/2014,0.2,0.31,0.2,0.2,0.2
META,01/17/2014,0.2,0.26,0.2,0.2,0.2
META,01/16/2014,0.2,0.22,0.2,0.2,0.2
META,01/15/2014,0.2,0.21,0.2,0.2,0.2
META,01/14/2014,0.2,0.24,0.2,0.2,0.2
META,01/13/2014,0.19,0.41,0.2,0.2,0.19
META,01-10-2014,0.2,0.27,0.2,0.2,0.2
META,01-09-2014,0.2,0.6,0.2,0.2,0.2
META,01-08-2014,0.2,0.36,0.2,0.2,0.2
META,01-07-2014,0.2,0.5,0.2,0.2,0.2
META,01-06-2014,0.2,0.44,0.19,0.2,0.19
META,01-03-2014,0.19,0.24,0.19,0.19,0.19
META,01-02-2014,0.19,0.28,0.19,0.19,0.19
META,12/31/2013,0.19,0.28,0.19,0.19,0.19
META,12/30/2013,0.19,0.44,0.19,0.19,0.19
META,12/27/2013,0.19,0.39,0.2,0.2,0.19
META,12/26/2013,0.2,0.35,0.2,0.2,0.2
META,12/24/2013,0.2,0.3,0.2,0.2,0.2
META,12/23/2013,0.2,0.64,0.19,0.2,0.2
META,12/20/2013,0.19,1.0,0.19,0.19,0.19
META,12/19/2013,0.19,0.58,0.19,0.19,0.19
META,12/18/2013,0.19,0.49,0.19,0.19,0.19
META,12/17/2013,0.19,0.51,0.19,0.19,0.19
META,12/16/2013,0.19,0.55,0.18,0.19,0.19
META,12/13/2013,0.19,0.53,0.18,0.18,0.18
META,12-12-2013,0.18,0.6,0.18,0.18,0.18
META,12-11-2013,0.17,0.4,0.18,0.17,0.17
META,12-10-2013,0.17,0.44,0.17,0.17,0.17
META,12-09-2013,0.17,0.23,0.17,0.17,0.17
META,12-06-2013,0.17,0.27,0.17,0.17,0.17
META,12-05-2013,0.17,0.28,0.17,0.17,0.17
META,12-04-2013,0.17,0.39,0.16,0.17,0.16
META,12-03-2013,0.16,0.2,0.16,0.16,0.16
META,12-02-2013,0.16,0.33,0.16,0.16,0.16
META,11/29/2013,0.16,0.14,0.16,0.16,0.16
META,11/27/2013,0.16,0.29,0.16,0.16,0.16
META,11/26/2013,0.16,0.53,0.15,0.16,0.15
META,11/25/2013,0.15,0.53,0.16,0.16,0.15
META,11/22/2013,0.16,0.26,0.16,0.16,0.16
META,11/21/2013,0.16,0.22,0.16,0.16,0.16
META,11/20/2013,0.16,0.35,0.16,0.16,0.16
META,11/19/2013,0.16,0.49,0.16,0.16,0.16
META,11/18/2013,0.16,0.56,0.17,0.17,0.16
META,11/15/2013,0.17,0.27,0.17,0.17,0.17
META,11/14/2013,0.17,0.49,0.17,0.17,0.17
META,11/13/2013,0.17,0.51,0.16,0.17,0.16
META,11-12-2013,0.16,0.44,0.16,0.16,0.16
META,11-11-2013,0.16,0.52,0.16,0.16,0.16
META,11-08-2013,0.16,0.46,0.17,0.17,0.17
META,11-07-2013,0.16,0.63,0.17,0.17,0.17
META,11-06-2013,0.17,0.44,0.17,0.17,0.17
META,11-05-2013,0.17,0.5,0.17,0.17,0.17
META,11-04-2013,0.17,0.52,0.17,0.17,0.17
META,11-01-2013,0.17,0.61,0.18,0.18,0.17
META,10/31/2013,0.17,1.0,0.16,0.18,0.16
META,10/30/2013,0.17,0.73,0.17,0.17,0.17
META,10/29/2013,0.17,0.66,0.18,0.17,0.17
META,10/28/2013,0.17,0.47,0.18,0.18,0.17
META,10/25/2013,0.18,0.29,0.18,0.18,0.18
META,10/24/2013,0.18,0.3,0.18,0.18,0.18
META,10/23/2013,0.18,0.37,0.18,0.18,0.18
META,10/22/2013,0.18,0.54,0.19,0.19,0.18
META,10/21/2013,0.19,0.37,0.19,0.19,0.19
META,10/18/2013,0.19,0.57,0.19,0.19,0.19
META,10/17/2013,0.18,0.46,0.18,0.18,0.18
META,10/16/2013,0.18,0.42,0.17,0.17,0.18
META,10/15/2013,0.17,0.52,0.17,0.17,0.17
META,10/14/2013,0.17,0.44,0.17,0.17,0.17
META,10-11-2013,0.17,0.38,0.17,0.17,0.17
META,10-10-2013,0.17,0.65,0.17,0.17,0.17
META,10-09-2013,0.16,0.96,0.16,0.16,0.16
META,10-08-2013,0.16,0.88,0.18,0.17,0.16
META,10-07-2013,0.18,0.37,0.18,0.17,0.18
META,10-04-2013,0.18,0.48,0.17,0.17,0.17
META,10-03-2013,0.17,0.53,0.17,0.17,0.17
META,10-02-2013,0.17,0.4,0.17,0.17,0.18
META,10-01-2013,0.17,0.64,0.17,0.17,0.17
META,09/30/2013,0.17,0.65,0.17,0.18,0.17
META,09/27/2013,0.18,0.53,0.17,0.17,0.17
META,09/26/2013,0.17,0.64,0.17,0.17,0.17
META,09/25/2013,0.17,0.57,0.17,0.17,0.17
META,09/24/2013,0.17,0.89,0.17,0.17,0.17
META,09/23/2013,0.16,0.49,0.16,0.16,0.16
META,09/20/2013,0.16,0.75,0.16,0.16,0.16
