date,open,high,low,close,volume,rsi_7,rsi_14,cci_7,cci_14,sma_50,ema_50,sma_100,ema_100,macd,bollinger,TrueRange,atr_7,atr_14,next_day_close
2019-01-25,0.03,0.02,0.03,0.03,0.44,0.31,0.32,0.39,0.31,0.04,0.04,0.03,0.04,0.33,0.03,0.03,0.04,0.04,0.03
2019-01-28,0.03,0.02,0.03,0.03,0.39,0.31,0.32,0.41,0.33,0.04,0.04,0.03,0.04,0.33,0.03,0.03,0.03,0.03,0.03
2019-01-29,0.03,0.02,0.03,0.03,0.27,0.32,0.32,0.5,0.36,0.04,0.04,0.03,0.04,0.32,0.03,0.02,0.03,0.03,0.03
2019-01-30,0.03,0.03,0.03,0.03,0.72,0.46,0.4,0.81,0.41,0.04,0.04,0.03,0.04,0.33,0.03,0.03,0.03,0.03,0.03
2019-01-31,0.03,0.03,0.03,0.03,0.81,0.45,0.39,0.73,0.41,0.04,0.04,0.03,0.04,0.34,0.03,0.06,0.03,0.03,0.03
2019-02-01,0.03,0.03,0.03,0.03,0.45,0.51,0.42,0.75,0.45,0.04,0.03,0.03,0.04,0.35,0.03,0.04,0.03,0.03,0.03
2019-02-04,0.03,0.03,0.03,0.03,0.45,0.52,0.43,0.68,0.46,0.04,0.03,0.03,0.04,0.36,0.03,0.04,0.03,0.03,0.03
2019-02-05,0.03,0.03,0.03,0.03,0.41,0.62,0.48,0.79,0.54,0.04,0.03,0.03,0.04,0.37,0.03,0.03,0.03,0.03,0.03
2019-02-06,0.03,0.03,0.03,0.03,0.29,0.55,0.45,0.73,0.58,0.04,0.03,0.03,0.04,0.38,0.03,0.02,0.03,0.03,0.03
2019-02-07,0.03,0.03,0.03,0.03,0.4,0.42,0.39,0.42,0.52,0.04,0.03,0.03,0.04,0.38,0.03,0.04,0.03,0.03,0.03
2019-02-08,0.03,0.03,0.03,0.03,0.35,0.4,0.38,0.29,0.47,0.04,0.03,0.03,0.04,0.38,0.03,0.03,0.03,0.03,0.03
2019-02-11,0.03,0.03,0.03,0.03,0.44,0.5,0.44,0.56,0.58,0.04,0.03,0.03,0.04,0.39,0.03,0.04,0.03,0.03,0.03
2019-02-12,0.03,0.03,0.03,0.03,0.33,0.49,0.43,0.52,0.56,0.04,0.03,0.03,0.04,0.39,0.03,0.02,0.02,0.03,0.03
